condition,faithfulness_score,is_hallucination,total_latency_ms,dataset,base_index_s,raptor_index_s
crag,0.4872,True,1361.871,hotpotqa,7.967,134.013
raptor_2l,0.6949,False,2176.899,hotpotqa,7.967,134.013
hcpc_v2,0.6713,False,2953.711,hotpotqa,7.967,134.013
crag,0.6713,False,2466.701,hotpotqa,7.967,134.013
raptor_2l,0.6306,False,2972.779,hotpotqa,7.967,134.013
hcpc_v2,0.5367,False,770.009,hotpotqa,7.967,134.013
crag,0.5367,False,637.828,hotpotqa,7.967,134.013
raptor_2l,0.5367,False,892.468,hotpotqa,7.967,134.013
hcpc_v2,0.5473,False,3449.16,hotpotqa,7.967,134.013
crag,0.9425,False,917.032,hotpotqa,7.967,134.013
raptor_2l,0.5915,False,4810.211,hotpotqa,7.967,134.013
hcpc_v2,0.6535,False,3710.038,hotpotqa,7.967,134.013
crag,0.4394,True,2090.186,hotpotqa,7.967,134.013
raptor_2l,0.6314,False,4040.934,hotpotqa,7.967,134.013
hcpc_v2,0.7213,False,2928.379,hotpotqa,7.967,134.013
crag,0.5722,False,4114.307,hotpotqa,7.967,134.013
raptor_2l,0.7263,False,943.463,hotpotqa,7.967,134.013
hcpc_v2,0.5453,False,2011.247,hotpotqa,7.967,134.013
crag,0.4772,True,1836.373,hotpotqa,7.967,134.013
raptor_2l,0.3708,True,1993.85,hotpotqa,7.967,134.013
hcpc_v2,0.6643,False,1944.373,hotpotqa,7.967,134.013
crag,0.5903,False,4070.903,hotpotqa,7.967,134.013
raptor_2l,0.6643,False,2152.572,hotpotqa,7.967,134.013
hcpc_v2,0.5234,False,2073.369,hotpotqa,7.967,134.013
crag,0.7223,False,1852.728,hotpotqa,7.967,134.013
raptor_2l,0.5051,False,2472.811,hotpotqa,7.967,134.013
hcpc_v2,0.7463,False,1937.113,hotpotqa,7.967,134.013
crag,0.7402,False,1831.56,hotpotqa,7.967,134.013
raptor_2l,0.5755,False,2051.944,hotpotqa,7.967,134.013
hcpc_v2,0.359,True,4158.458,hotpotqa,7.967,134.013
crag,0.6413,False,2189.601,hotpotqa,7.967,134.013
raptor_2l,0.5531,False,1419.098,hotpotqa,7.967,134.013
hcpc_v2,0.7352,False,2202.079,hotpotqa,7.967,134.013
crag,0.6736,False,2044.576,hotpotqa,7.967,134.013
raptor_2l,0.535,False,3152.207,hotpotqa,7.967,134.013
hcpc_v2,0.4937,True,2719.338,hotpotqa,7.967,134.013
crag,0.7083,False,643.953,hotpotqa,7.967,134.013
raptor_2l,0.3468,True,2008.977,hotpotqa,7.967,134.013
hcpc_v2,0.7869,False,4954.545,hotpotqa,7.967,134.013
crag,0.6953,False,3439.786,hotpotqa,7.967,134.013
raptor_2l,0.7779,False,3078.728,hotpotqa,7.967,134.013
hcpc_v2,0.5918,False,4270.035,hotpotqa,7.967,134.013
crag,0.4586,True,3168.248,hotpotqa,7.967,134.013
raptor_2l,0.7233,False,2172.811,hotpotqa,7.967,134.013
hcpc_v2,0.8574,False,1495.208,hotpotqa,7.967,134.013
crag,0.5112,False,4201.033,hotpotqa,7.967,134.013
raptor_2l,0.8814,False,2047.76,hotpotqa,7.967,134.013
hcpc_v2,0.6812,False,3291.626,hotpotqa,7.967,134.013
crag,0.6084,False,1547.918,hotpotqa,7.967,134.013
raptor_2l,0.5688,False,2656.592,hotpotqa,7.967,134.013
hcpc_v2,0.7343,False,1701.702,hotpotqa,7.967,134.013
crag,0.5646,False,1029.064,hotpotqa,7.967,134.013
raptor_2l,0.6301,False,1331.659,hotpotqa,7.967,134.013
hcpc_v2,0.7198,False,2180.402,hotpotqa,7.967,134.013
crag,0.5337,False,1990.151,hotpotqa,7.967,134.013
raptor_2l,0.718,False,2435.476,hotpotqa,7.967,134.013
hcpc_v2,0.5383,False,2721.315,hotpotqa,7.967,134.013
crag,0.5383,False,2605.144,hotpotqa,7.967,134.013
raptor_2l,0.5195,False,2923.974,hotpotqa,7.967,134.013
hcpc_v2,0.542,False,842.806,hotpotqa,7.967,134.013
crag,0.542,False,589.427,hotpotqa,7.967,134.013
raptor_2l,0.6317,False,1697.753,hotpotqa,7.967,134.013
hcpc_v2,0.6427,False,1998.349,hotpotqa,7.967,134.013
crag,0.6527,False,1595.512,hotpotqa,7.967,134.013
raptor_2l,0.6387,False,3854.951,hotpotqa,7.967,134.013
hcpc_v2,0.5664,False,1743.032,hotpotqa,7.967,134.013
crag,0.5664,False,1724.334,hotpotqa,7.967,134.013
raptor_2l,1.0,False,1197.55,hotpotqa,7.967,134.013
hcpc_v2,0.6655,False,1876.103,hotpotqa,7.967,134.013
crag,0.6079,False,2003.766,hotpotqa,7.967,134.013
raptor_2l,0.6858,False,2138.731,hotpotqa,7.967,134.013
hcpc_v2,0.7658,False,2722.609,hotpotqa,7.967,134.013
crag,0.643,False,2181.648,hotpotqa,7.967,134.013
raptor_2l,0.7462,False,1921.121,hotpotqa,7.967,134.013
hcpc_v2,0.5845,False,2144.167,hotpotqa,7.967,134.013
crag,0.4066,True,2847.499,hotpotqa,7.967,134.013
raptor_2l,0.6965,False,2176.152,hotpotqa,7.967,134.013
hcpc_v2,0.6375,False,3635.97,hotpotqa,7.967,134.013
crag,0.7835,False,3622.344,hotpotqa,7.967,134.013
raptor_2l,0.555,False,1629.83,hotpotqa,7.967,134.013
hcpc_v2,0.6187,False,1936.572,hotpotqa,7.967,134.013
crag,0.6051,False,1538.05,hotpotqa,7.967,134.013
raptor_2l,0.706,False,2514.773,hotpotqa,7.967,134.013
hcpc_v2,0.4528,True,2861.962,hotpotqa,7.967,134.013
crag,0.4862,True,2358.79,hotpotqa,7.967,134.013
raptor_2l,0.4833,True,2538.858,hotpotqa,7.967,134.013
hcpc_v2,0.3962,True,2299.962,hotpotqa,7.967,134.013
crag,0.4933,True,3265.34,hotpotqa,7.967,134.013
raptor_2l,0.4788,True,1634.628,hotpotqa,7.967,134.013
hcpc_v2,0.8364,False,1133.092,hotpotqa,7.967,134.013
crag,0.8364,False,1012.598,hotpotqa,7.967,134.013
raptor_2l,0.7149,False,1734.989,hotpotqa,7.967,134.013
hcpc_v2,0.2773,True,1629.854,hotpotqa,7.967,134.013
crag,0.6766,False,1607.845,hotpotqa,7.967,134.013
raptor_2l,0.6739,False,2274.709,hotpotqa,7.967,134.013
hcpc_v2,0.6931,False,3017.748,hotpotqa,7.967,134.013
crag,0.6353,False,3220.751,hotpotqa,7.967,134.013
raptor_2l,0.7317,False,5200.372,hotpotqa,7.967,134.013
hcpc_v2,0.6253,False,4003.834,hotpotqa,7.967,134.013
crag,0.7304,False,1362.174,hotpotqa,7.967,134.013
raptor_2l,0.7318,False,2232.269,hotpotqa,7.967,134.013
hcpc_v2,0.5044,False,1815.577,hotpotqa,7.967,134.013
crag,0.7325,False,2670.63,hotpotqa,7.967,134.013
raptor_2l,0.5358,False,1788.002,hotpotqa,7.967,134.013
hcpc_v2,0.4829,True,2051.155,hotpotqa,7.967,134.013
crag,0.8115,False,1820.294,hotpotqa,7.967,134.013
raptor_2l,0.6569,False,2279.973,hotpotqa,7.967,134.013
hcpc_v2,0.507,False,2948.498,hotpotqa,7.967,134.013
crag,0.5021,False,2074.882,hotpotqa,7.967,134.013
raptor_2l,0.7196,False,2038.955,hotpotqa,7.967,134.013
hcpc_v2,0.4974,True,3075.632,hotpotqa,7.967,134.013
crag,0.5768,False,2355.543,hotpotqa,7.967,134.013
raptor_2l,0.5983,False,2537.997,hotpotqa,7.967,134.013
hcpc_v2,0.8673,False,3314.608,hotpotqa,7.967,134.013
crag,0.8207,False,2197.257,hotpotqa,7.967,134.013
raptor_2l,0.7162,False,2956.65,hotpotqa,7.967,134.013
hcpc_v2,0.7121,False,1740.787,hotpotqa,7.967,134.013
crag,0.8625,False,1217.675,hotpotqa,7.967,134.013
raptor_2l,0.3826,True,855.387,hotpotqa,7.967,134.013
hcpc_v2,0.7151,False,4206.371,hotpotqa,7.967,134.013
crag,0.4847,True,3593.513,hotpotqa,7.967,134.013
raptor_2l,0.504,False,4027.419,hotpotqa,7.967,134.013
hcpc_v2,0.5163,False,1509.947,hotpotqa,7.967,134.013
crag,0.5807,False,947.819,hotpotqa,7.967,134.013
raptor_2l,0.5384,False,2817.038,hotpotqa,7.967,134.013
hcpc_v2,0.6962,False,1287.484,hotpotqa,7.967,134.013
crag,0.7649,False,639.09,hotpotqa,7.967,134.013
raptor_2l,0.7649,False,928.034,hotpotqa,7.967,134.013
hcpc_v2,0.6525,False,2134.015,hotpotqa,7.967,134.013
crag,0.6578,False,1910.555,hotpotqa,7.967,134.013
raptor_2l,0.6525,False,2409.618,hotpotqa,7.967,134.013
hcpc_v2,0.6781,False,3013.506,hotpotqa,7.967,134.013
crag,0.6781,False,2825.033,hotpotqa,7.967,134.013
raptor_2l,0.7375,False,3074.745,hotpotqa,7.967,134.013
hcpc_v2,0.5024,False,862.45,hotpotqa,7.967,134.013
crag,0.6641,False,950.482,hotpotqa,7.967,134.013
raptor_2l,0.5024,False,1283.174,hotpotqa,7.967,134.013
hcpc_v2,0.5779,False,3080.933,hotpotqa,7.967,134.013
crag,0.6601,False,1907.792,hotpotqa,7.967,134.013
raptor_2l,0.742,False,2717.638,hotpotqa,7.967,134.013
hcpc_v2,0.5193,False,843.058,hotpotqa,7.967,134.013
crag,0.5548,False,841.529,hotpotqa,7.967,134.013
raptor_2l,0.7915,False,2947.502,hotpotqa,7.967,134.013
hcpc_v2,0.7329,False,1098.915,hotpotqa,7.967,134.013
crag,0.7329,False,1049.076,hotpotqa,7.967,134.013
raptor_2l,0.7765,False,1569.493,hotpotqa,7.967,134.013
hcpc_v2,0.422,True,2401.133,hotpotqa,7.967,134.013
crag,0.3885,True,3350.495,hotpotqa,7.967,134.013
raptor_2l,0.702,False,2519.969,hotpotqa,7.967,134.013
hcpc_v2,0.755,False,3755.878,hotpotqa,7.967,134.013
crag,0.7547,False,2288.714,hotpotqa,7.967,134.013
raptor_2l,0.8181,False,3866.161,hotpotqa,7.967,134.013
hcpc_v2,0.4659,True,2335.611,hotpotqa,7.967,134.013
crag,0.7994,False,1923.198,hotpotqa,7.967,134.013
raptor_2l,0.4401,True,2645.981,hotpotqa,7.967,134.013
hcpc_v2,0.725,False,1827.934,hotpotqa,7.967,134.013
crag,0.6469,False,1836.982,hotpotqa,7.967,134.013
raptor_2l,0.6608,False,2010.032,hotpotqa,7.967,134.013
hcpc_v2,0.7016,False,1428.759,hotpotqa,7.967,134.013
crag,0.5513,False,2538.414,hotpotqa,7.967,134.013
raptor_2l,0.7026,False,2782.135,hotpotqa,7.967,134.013
hcpc_v2,0.8589,False,801.558,hotpotqa,7.967,134.013
crag,0.8589,False,759.187,hotpotqa,7.967,134.013
raptor_2l,0.4059,True,2135.188,hotpotqa,7.967,134.013
hcpc_v2,0.5787,False,1851.784,hotpotqa,7.967,134.013
crag,0.7553,False,1307.574,hotpotqa,7.967,134.013
raptor_2l,0.4998,True,2335.386,hotpotqa,7.967,134.013
hcpc_v2,0.5134,False,2377.843,hotpotqa,7.967,134.013
crag,0.7497,False,1485.203,hotpotqa,7.967,134.013
raptor_2l,0.7497,False,2021.823,hotpotqa,7.967,134.013
hcpc_v2,0.6786,False,2619.261,hotpotqa,7.967,134.013
crag,0.6584,False,1436.601,hotpotqa,7.967,134.013
raptor_2l,0.5562,False,1804.862,hotpotqa,7.967,134.013
hcpc_v2,0.6773,False,2497.541,hotpotqa,7.967,134.013
crag,0.5527,False,2562.042,hotpotqa,7.967,134.013
raptor_2l,0.6211,False,2471.985,hotpotqa,7.967,134.013
hcpc_v2,0.4129,True,1374.818,hotpotqa,7.967,134.013
crag,0.4129,True,1146.882,hotpotqa,7.967,134.013
raptor_2l,0.4129,True,1727.258,hotpotqa,7.967,134.013
hcpc_v2,0.5671,False,2036.306,hotpotqa,7.967,134.013
crag,0.702,False,1622.16,hotpotqa,7.967,134.013
raptor_2l,0.5459,False,2050.417,hotpotqa,7.967,134.013
hcpc_v2,0.6272,False,2081.368,hotpotqa,7.967,134.013
crag,0.6297,False,3157.779,hotpotqa,7.967,134.013
raptor_2l,0.6969,False,1590.484,hotpotqa,7.967,134.013
hcpc_v2,0.5295,False,3263.316,hotpotqa,7.967,134.013
crag,0.6535,False,2739.424,hotpotqa,7.967,134.013
raptor_2l,0.6097,False,5635.633,hotpotqa,7.967,134.013
hcpc_v2,0.7305,False,1534.517,hotpotqa,7.967,134.013
crag,0.7195,False,1311.412,hotpotqa,7.967,134.013
raptor_2l,0.7305,False,1681.062,hotpotqa,7.967,134.013
hcpc_v2,0.5847,False,3405.653,hotpotqa,7.967,134.013
crag,0.635,False,1363.541,hotpotqa,7.967,134.013
raptor_2l,0.6897,False,3584.819,hotpotqa,7.967,134.013
hcpc_v2,0.7592,False,1227.442,hotpotqa,7.967,134.013
crag,0.7592,False,1184.689,hotpotqa,7.967,134.013
raptor_2l,0.7592,False,1456.323,hotpotqa,7.967,134.013
hcpc_v2,0.8315,False,2292.661,hotpotqa,7.967,134.013
crag,0.7665,False,2295.906,hotpotqa,7.967,134.013
raptor_2l,0.6699,False,2161.427,hotpotqa,7.967,134.013
hcpc_v2,0.7136,False,2268.757,hotpotqa,7.967,134.013
crag,0.7078,False,1190.651,hotpotqa,7.967,134.013
raptor_2l,0.8778,False,2402.206,hotpotqa,7.967,134.013
hcpc_v2,0.7461,False,1917.947,hotpotqa,7.967,134.013
crag,0.6663,False,1807.321,hotpotqa,7.967,134.013
raptor_2l,0.7461,False,2258.756,hotpotqa,7.967,134.013
hcpc_v2,0.6358,False,2443.756,hotpotqa,7.967,134.013
crag,0.6869,False,2945.163,hotpotqa,7.967,134.013
raptor_2l,0.7545,False,3518.547,hotpotqa,7.967,134.013
hcpc_v2,0.5447,False,1743.415,hotpotqa,7.967,134.013
crag,0.8112,False,2175.259,hotpotqa,7.967,134.013
raptor_2l,0.5528,False,2033.848,hotpotqa,7.967,134.013
hcpc_v2,0.6049,False,2368.19,hotpotqa,7.967,134.013
crag,0.6841,False,1428.519,hotpotqa,7.967,134.013
raptor_2l,0.6459,False,2133.963,hotpotqa,7.967,134.013
hcpc_v2,0.6543,False,2247.096,hotpotqa,7.967,134.013
crag,0.4729,True,2432.53,hotpotqa,7.967,134.013
raptor_2l,0.6545,False,2335.984,hotpotqa,7.967,134.013
hcpc_v2,0.489,True,1625.118,hotpotqa,7.967,134.013
crag,0.6249,False,1220.289,hotpotqa,7.967,134.013
raptor_2l,0.541,False,2089.477,hotpotqa,7.967,134.013
hcpc_v2,0.7414,False,2320.228,hotpotqa,7.967,134.013
crag,0.495,True,3172.057,hotpotqa,7.967,134.013
raptor_2l,0.6801,False,2783.768,hotpotqa,7.967,134.013
hcpc_v2,0.5675,False,946.633,hotpotqa,7.967,134.013
crag,0.5603,False,2905.706,hotpotqa,7.967,134.013
raptor_2l,0.5264,False,4906.386,hotpotqa,7.967,134.013
hcpc_v2,0.6482,False,2647.74,hotpotqa,7.967,134.013
crag,0.5669,False,1707.165,hotpotqa,7.967,134.013
raptor_2l,0.7665,False,2906.479,hotpotqa,7.967,134.013
hcpc_v2,0.7344,False,1816.929,hotpotqa,7.967,134.013
crag,0.7332,False,1265.725,hotpotqa,7.967,134.013
raptor_2l,0.7344,False,1921.392,hotpotqa,7.967,134.013
hcpc_v2,0.6161,False,1488.769,hotpotqa,7.967,134.013
crag,0.7156,False,1695.719,hotpotqa,7.967,134.013
raptor_2l,0.5617,False,1840.389,hotpotqa,7.967,134.013
hcpc_v2,0.9593,False,1240.695,hotpotqa,7.967,134.013
crag,0.6538,False,469.411,hotpotqa,7.967,134.013
raptor_2l,0.6538,False,835.527,hotpotqa,7.967,134.013
hcpc_v2,0.558,False,2511.971,hotpotqa,7.967,134.013
crag,0.7314,False,2234.171,hotpotqa,7.967,134.013
raptor_2l,0.7227,False,2723.335,hotpotqa,7.967,134.013
hcpc_v2,0.8003,False,3005.7,hotpotqa,7.967,134.013
crag,0.8003,False,2938.324,hotpotqa,7.967,134.013
raptor_2l,0.6518,False,2403.648,hotpotqa,7.967,134.013
hcpc_v2,0.62,False,2019.335,hotpotqa,7.967,134.013
crag,0.62,False,1798.329,hotpotqa,7.967,134.013
raptor_2l,0.62,False,2349.394,hotpotqa,7.967,134.013
hcpc_v2,0.7215,False,1530.508,hotpotqa,7.967,134.013
crag,0.7215,False,1458.672,hotpotqa,7.967,134.013
raptor_2l,0.7215,False,1830.613,hotpotqa,7.967,134.013
hcpc_v2,0.6006,False,1560.051,hotpotqa,7.967,134.013
crag,0.6604,False,846.871,hotpotqa,7.967,134.013
raptor_2l,0.5703,False,3013.314,hotpotqa,7.967,134.013
hcpc_v2,0.8896,False,1845.972,hotpotqa,7.967,134.013
crag,0.8896,False,1621.437,hotpotqa,7.967,134.013
raptor_2l,0.8896,False,2227.094,hotpotqa,7.967,134.013
hcpc_v2,0.5848,False,4519.041,hotpotqa,7.967,134.013
crag,0.5574,False,2734.624,hotpotqa,7.967,134.013
raptor_2l,0.5495,False,3632.37,hotpotqa,7.967,134.013
hcpc_v2,0.6223,False,4675.396,hotpotqa,7.967,134.013
crag,0.7477,False,1647.209,hotpotqa,7.967,134.013
raptor_2l,0.443,True,2043.235,hotpotqa,7.967,134.013
hcpc_v2,0.3635,True,3409.039,hotpotqa,7.967,134.013
crag,0.5811,False,338.001,hotpotqa,7.967,134.013
raptor_2l,0.6368,False,1794.219,hotpotqa,7.967,134.013
hcpc_v2,0.9836,False,1814.665,hotpotqa,7.967,134.013
crag,0.6179,False,609.109,hotpotqa,7.967,134.013
raptor_2l,0.7064,False,2122.631,hotpotqa,7.967,134.013
hcpc_v2,0.6037,False,2247.891,hotpotqa,7.967,134.013
crag,0.5885,False,2282.274,hotpotqa,7.967,134.013
raptor_2l,0.5932,False,2388.038,hotpotqa,7.967,134.013
hcpc_v2,0.6525,False,2412.939,hotpotqa,7.967,134.013
crag,0.7338,False,1612.138,hotpotqa,7.967,134.013
raptor_2l,0.5558,False,2111.185,hotpotqa,7.967,134.013
hcpc_v2,0.6908,False,1251.793,hotpotqa,7.967,134.013
crag,0.5531,False,684.367,hotpotqa,7.967,134.013
raptor_2l,0.6834,False,2169.477,hotpotqa,7.967,134.013
hcpc_v2,0.4239,True,1663.843,hotpotqa,7.967,134.013
crag,0.6705,False,2658.122,hotpotqa,7.967,134.013
raptor_2l,0.6398,False,2027.254,hotpotqa,7.967,134.013
hcpc_v2,0.5615,False,1872.458,hotpotqa,7.967,134.013
crag,0.5615,False,1865.662,hotpotqa,7.967,134.013
raptor_2l,0.5851,False,2189.708,hotpotqa,7.967,134.013
hcpc_v2,0.7285,False,3366.632,hotpotqa,7.967,134.013
crag,0.6674,False,1311.626,hotpotqa,7.967,134.013
raptor_2l,0.5151,False,2462.233,hotpotqa,7.967,134.013
hcpc_v2,0.5747,False,1981.116,hotpotqa,7.967,134.013
crag,0.5747,False,1969.377,hotpotqa,7.967,134.013
raptor_2l,0.5444,False,980.874,hotpotqa,7.967,134.013
hcpc_v2,0.6855,False,3274.037,hotpotqa,7.967,134.013
crag,0.6586,False,1755.156,hotpotqa,7.967,134.013
raptor_2l,0.6901,False,2604.711,hotpotqa,7.967,134.013
hcpc_v2,0.7279,False,645.725,hotpotqa,7.967,134.013
crag,0.7279,False,323.916,hotpotqa,7.967,134.013
raptor_2l,0.7279,False,1138.235,hotpotqa,7.967,134.013
hcpc_v2,0.8216,False,1506.915,hotpotqa,7.967,134.013
crag,0.8216,False,1463.66,hotpotqa,7.967,134.013
raptor_2l,0.4451,True,3382.797,hotpotqa,7.967,134.013
hcpc_v2,0.6888,False,998.17,hotpotqa,7.967,134.013
crag,0.6888,False,899.485,hotpotqa,7.967,134.013
raptor_2l,0.6366,False,1791.929,hotpotqa,7.967,134.013
hcpc_v2,0.6526,False,2076.588,hotpotqa,7.967,134.013
crag,0.6631,False,1711.912,hotpotqa,7.967,134.013
raptor_2l,0.6831,False,2493.597,hotpotqa,7.967,134.013
hcpc_v2,0.5011,False,2143.6,hotpotqa,7.967,134.013
crag,0.6701,False,3518.053,hotpotqa,7.967,134.013
raptor_2l,0.5308,False,2962.552,hotpotqa,7.967,134.013
hcpc_v2,0.6571,False,1757.984,hotpotqa,7.967,134.013
crag,0.6571,False,1452.247,hotpotqa,7.967,134.013
raptor_2l,0.5932,False,2157.659,hotpotqa,7.967,134.013
hcpc_v2,0.8048,False,2143.705,hotpotqa,7.967,134.013
crag,0.5707,False,3897.651,hotpotqa,7.967,134.013
raptor_2l,0.7528,False,1795.887,hotpotqa,7.967,134.013
hcpc_v2,0.5914,False,528.522,hotpotqa,7.967,134.013
crag,0.5914,False,330.807,hotpotqa,7.967,134.013
raptor_2l,0.6467,False,1713.792,hotpotqa,7.967,134.013
hcpc_v2,0.3819,True,2829.078,hotpotqa,7.967,134.013
crag,0.4045,True,2559.383,hotpotqa,7.967,134.013
raptor_2l,0.7155,False,3065.239,hotpotqa,7.967,134.013
hcpc_v2,0.6182,False,1991.956,hotpotqa,7.967,134.013
crag,0.6182,False,1884.974,hotpotqa,7.967,134.013
raptor_2l,0.6182,False,2318.444,hotpotqa,7.967,134.013
hcpc_v2,0.6057,False,2537.548,hotpotqa,7.967,134.013
crag,0.5113,False,2842.986,hotpotqa,7.967,134.013
raptor_2l,0.6077,False,3244.629,hotpotqa,7.967,134.013
hcpc_v2,0.5956,False,3305.345,hotpotqa,7.967,134.013
crag,0.7161,False,2360.112,hotpotqa,7.967,134.013
raptor_2l,0.7227,False,3489.343,hotpotqa,7.967,134.013
hcpc_v2,0.531,False,2055.707,hotpotqa,7.967,134.013
crag,0.6347,False,1273.795,hotpotqa,7.967,134.013
raptor_2l,0.5477,False,2418.775,hotpotqa,7.967,134.013
hcpc_v2,0.3153,True,542.303,hotpotqa,7.967,134.013
crag,0.633,False,1356.534,hotpotqa,7.967,134.013
raptor_2l,0.7649,False,2203.313,hotpotqa,7.967,134.013
hcpc_v2,0.7135,False,1772.92,hotpotqa,7.967,134.013
crag,0.8124,False,693.409,hotpotqa,7.967,134.013
raptor_2l,0.6762,False,1760.083,hotpotqa,7.967,134.013
hcpc_v2,0.6272,False,1901.194,hotpotqa,7.967,134.013
crag,0.6808,False,1282.204,hotpotqa,7.967,134.013
raptor_2l,0.6272,False,2085.546,hotpotqa,7.967,134.013
