phase,model,dataset,chunk_size,top_k,prompt_strategy,chunking_strategy,condition,nli_faithfulness,hallucination_rate,n_samples
phase2_multimodel,llama3,pubmedqa,1024,5,cot,fixed,baseline,0.5899,0.16,50
phase3_reranker,mistral,pubmedqa,1024,3,strict,fixed,reranked,0.5884,0.18,50
phase3_reranker,llama3,squad,256,3,strict,fixed,baseline,0.7233,0.05,100
phase3_reranker,llama3,squad,256,3,strict,fixed,reranked,0.7265,0.02,100
phase3_reranker,llama3,squad,512,3,strict,fixed,baseline,0.7523,0.05,100
phase3_reranker,llama3,squad,512,3,strict,fixed,reranked,0.7544,0.02,100
phase3_reranker,llama3,squad,1024,3,strict,fixed,baseline,0.7739,0.01,100
phase3_reranker,llama3,squad,1024,3,strict,fixed,reranked,0.7619,0.01,100
phase3_reranker,llama3,pubmedqa,256,3,strict,fixed,baseline,0.6136,0.18,50
phase3_reranker,llama3,pubmedqa,256,3,strict,fixed,reranked,0.6455,0.08,50
phase3_reranker,llama3,pubmedqa,512,3,strict,fixed,baseline,0.5862,0.2,50
phase3_reranker,llama3,pubmedqa,512,3,strict,fixed,reranked,0.5957,0.26,50
phase3_reranker,llama3,pubmedqa,1024,3,strict,fixed,baseline,0.5853,0.18,50
phase3_reranker,llama3,pubmedqa,1024,3,strict,fixed,reranked,0.5806,0.16,50
phase4_zeroshot,mistral,squad,0,0,none,none,zeroshot,0.6895,0.05,100
phase4_zeroshot,mistral,pubmedqa,0,0,none,none,zeroshot,0.6118,0.08,50
phase4_zeroshot,llama3,squad,0,0,none,none,zeroshot,0.6967,0.13,100
phase4_zeroshot,llama3,pubmedqa,0,0,none,none,zeroshot,0.611,0.04,50
phase6_hcpc,mistral,squad,1024,3,strict,fixed,baseline,0.8122,0.0,30
phase6_hcpc,mistral,squad,1024,3,strict,hcpc,hcpc,0.7289,0.1333,30
phase6_hcpc,mistral,pubmedqa,1024,3,strict,fixed,baseline,0.6031,0.1,30
phase6_hcpc,mistral,pubmedqa,1024,3,strict,hcpc,hcpc,0.5544,0.3667,30
phase5_adaptive,mistral,pubmedqa,1024,3,strict,fixed,baseline,0.6053,0.1333,30
phase5_adaptive,mistral,pubmedqa,512,3,strict,semantic,baseline,0.6006,0.1333,30
phase5_adaptive,mistral,pubmedqa,512,3,strict,dynamic,baseline,0.5903,0.1667,30
phase5_adaptive,mistral,pubmedqa,512,3,strict,fixed,baseline,0.5892,0.2,30
phase5_adaptive,mistral,pubmedqa,256,3,strict,fixed,baseline,0.5718,0.3,30
phase5_adaptive,mistral,pubmedqa,512,3,strict,semantic,baseline,0.5657,0.2667,30
phase5_adaptive,mistral,squad,512,3,strict,dynamic,baseline,0.7902,0.0,30
phase5_adaptive,mistral,squad,1024,3,strict,fixed,baseline,0.7886,0.0,30
phase5_adaptive,mistral,squad,512,3,strict,semantic,baseline,0.7763,0.1,30
phase5_adaptive,mistral,squad,512,3,strict,semantic,baseline,0.7647,0.1333,30
phase5_adaptive,mistral,squad,512,3,strict,fixed,baseline,0.7415,0.0667,30
phase5_adaptive,mistral,squad,256,3,strict,fixed,baseline,0.6444,0.1,30
